Energy[GeV],Modification_Factor
32037753.9615049027,0.77405387811972159451
32370438.8986039124,0.77556120403343686842
32703123.8357029222,0.77706852994715214233
33035808.7728019319,0.77857585586086741625
33368493.7099009417,0.78008318177458280118
33701178.6469999477,0.78471306684053421243
34033863.5840989575,0.79378238450871785314
34366548.5211979672,0.80285170217690149386
34699233.4582969770,0.81192101984508513457
35031918.3953959867,0.82099033751326877528
35364603.3324949965,0.83005965518145241600
35697288.2695940062,0.83912897284963605671
36029973.2066930160,0.84819829051781980844
36362658.1437920257,0.85726760818600344916
36695343.0808910355,0.86633692585418708987
37028028.0179900452,0.87540624352237073058
37360712.9550890550,0.88447556119055437129
37693397.8921880648,0.89354487885873801201
38026082.8292870745,0.90261419652692165272
38358767.7663860843,0.91168351419510529343
38691452.7034850940,0.92075283186328893414
39024137.6405841038,0.92982214953147257486
39356822.5776831061,0.93889146719965610455
39689507.5147821158,0.94796078486783974526
40022192.4518811256,0.95703010253602338597
40354877.3889801353,0.96609942020420702669
40687562.3260791451,0.97516873787239077842
41020247.2631781548,0.98423805554057453016
41352932.2002771646,0.99330737320875817087
41685617.1373761743,1.00653685083497035357
42018302.0744751841,1.02773937805000281642
42350987.0115741938,1.04894190526503527927
42683671.9486732036,1.07014443248006796416
43016356.8857722133,1.09134695969510042701
43349041.8228712231,1.11254948691013288986
43681726.7599702328,1.13375201412516557475
44014411.6970692426,1.15495454134019803760
44347096.6341682523,1.17615706855523072250
44679781.5712672621,1.19735959577026318534
45012466.5083662719,1.21856212298529564819
45345151.4454652816,1.23976465020032833309
45677836.3825642914,1.26096717741536079593
46010521.3196633011,1.28216970463039348083
46343206.2567623034,1.30337223184542527754
46675891.1938613132,1.32457475906045818448
47008576.1309603229,1.34577728627549042528
47341261.0680593327,1.36697981349052311018
47673946.0051583424,1.38818234070555557302
48006630.9422573522,1.40938486792058825792
48339315.8793563619,1.44759757957181189880
48672000.8164553717,1.49254676270651609471
49004685.7535543814,1.53749594584122051266
49337370.6906533912,1.58244512897592470857
49670055.6277524009,1.62739431211062890448
50002740.5648514107,1.67234349524533310039
50335425.5019504204,1.71729267838003751834
50668110.4390494302,1.76224186151474171425
51000795.3761484399,1.80719104464944591015
51333480.3132474497,1.85214022778415032811
51666165.2503464594,1.89708941091885452401
51998850.1874454692,1.94203859405355871992
52331535.1245444790,1.98698777718826313787
52664220.0616434887,2.03193696032296688969
52996904.9987424985,2.07688614345767152969
53329589.9358415008,2.12183532659237439333
53662274.8729405105,2.16678450972707903333
53994959.8100395203,2.21173369286178322923
54327644.7471385300,2.09634141253137462613
54660329.6842375398,1.94522102609373281901
54993014.6213365495,1.79410063965609123393
55325699.5584355593,1.64298025321844942681
